Job ID,Job Title,Department,Location,Open Date,Close Date,Applications Received,Interviews Conducted,Offers Extended,Offers Accepted,Cost-per-Hire,Source,Status,Candidate Name,Hiring Manager
JOB-21,Sales Executive,Engineering,New York,2024-10-29,2024-11-04,33,2,0,0,0.0,Company Website,Closed,,Jane Doe
JOB-22,HR Manager,Engineering,San Francisco,2024-01-24,,109,9,7,4,6922.1,Recruiter,Filled,Candidate-22,Taylor Davis
JOB-23,Marketing Manager,HR,San Francisco,2023-07-14,2023-07-26,158,24,17,1,11471.66,LinkedIn,Filled,Candidate-23,John Smith
JOB-24,Sales Executive,HR,Tokyo,2024-06-27,,140,3,1,0,0.0,Recruiter,Open,,Taylor Davis
JOB-25,Data Scientist,HR,New York,2024-08-06,2024-10-26,20,1,1,1,14085.89,Job Board,Filled,Candidate-25,Taylor Davis
JOB-26,Marketing Manager,Product,San Francisco,2023-09-29,2023-12-28,175,20,14,5,14006.26,LinkedIn,Filled,Candidate-26,John Smith
JOB-27,HR Manager,Sales,Tokyo,2023-04-13,,64,9,4,1,14065.63,LinkedIn,Filled,Candidate-27,Jane Doe
JOB-28,Product Manager,Product,San Francisco,2024-03-24,2024-05-06,166,1,1,0,0.0,Job Board,Closed,,John Smith
JOB-29,Software Engineer,Marketing,Tokyo,2023-06-09,2023-08-30,63,12,5,1,10624.96,Referral,Filled,Candidate-29,Morgan Brown
JOB-30,HR Manager,Product,New York,2023-04-05,2023-05-15,21,1,1,0,0.0,Referral,Open,,Taylor Davis
JOB-31,HR Manager,Sales,Sydney,2024-03-13,2024-04-01,29,2,2,0,0.0,Referral,Filled,,Morgan Brown
JOB-32,Data Scientist,HR,San Francisco,2023-02-12,2023-02-22,101,7,3,0,0.0,Referral,Filled,,Chris Lee
JOB-33,Sales Executive,Marketing,San Francisco,2023-08-31,2023-09-27,115,1,0,0,0.0,Company Website,Filled,,Taylor Davis
JOB-34,Data Scientist,Product,San Francisco,2024-12-19,,19,2,0,0,0.0,Company Website,Closed,,Alex Johnson
JOB-35,Data Scientist,Data,New York,2024-11-06,,94,9,1,1,5916.05,Recruiter,Filled,Candidate-35,Chris Lee
JOB-36,Marketing Manager,Sales,London,2023-01-29,,76,3,2,0,0.0,LinkedIn,Filled,,Chris Lee
JOB-37,Product Manager,Marketing,London,2024-03-22,2024-05-31,39,4,4,1,4566.12,Company Website,Filled,Candidate-37,John Smith
JOB-38,Sales Executive,Sales,Sydney,2024-11-17,,120,3,2,2,5394.82,LinkedIn,Filled,Candidate-38,Taylor Davis
JOB-39,Product Manager,Sales,London,2024-11-13,2025-01-08,188,19,17,4,3685.76,Company Website,Filled,Candidate-39,Taylor Davis
JOB-40,Marketing Manager,Data,Tokyo,2024-08-05,2024-10-19,10,2,1,0,0.0,Company Website,Filled,,Morgan Brown
JOB-41,Marketing Manager,Product,Berlin,2024-03-28,2024-04-29,140,16,5,5,2187.14,Recruiter,Filled,Candidate-41,Taylor Davis
JOB-42,Marketing Manager,Sales,London,2023-04-06,2023-05-11,182,20,7,3,3062.96,LinkedIn,Filled,Candidate-42,Jane Doe
JOB-43,HR Manager,Sales,New York,2024-04-11,2024-07-05,157,7,6,3,6595.14,Job Board,Filled,Candidate-43,Taylor Davis
JOB-44,Marketing Manager,Engineering,New York,2024-03-11,2024-05-21,128,2,2,0,0.0,LinkedIn,Closed,,Jane Doe
JOB-45,HR Manager,Marketing,Tokyo,2024-07-26,2024-09-25,166,33,27,26,13695.97,Company Website,Filled,Candidate-45,Jane Doe
JOB-46,Marketing Manager,HR,Berlin,2023-09-23,2023-12-18,80,16,7,4,7158.22,Referral,Filled,Candidate-46,Jane Doe
JOB-47,Product Manager,Product,London,2024-07-07,,48,4,3,1,10889.87,LinkedIn,Filled,Candidate-47,Chris Lee
JOB-48,HR Manager,Product,Tokyo,2024-04-22,2024-05-23,117,13,12,9,14244.87,LinkedIn,Filled,Candidate-48,Morgan Brown
JOB-49,HR Manager,HR,New York,2023-12-27,2024-02-19,117,18,17,7,7835.21,Referral,Filled,Candidate-49,Chris Lee
JOB-50,HR Manager,Engineering,Berlin,2023-12-11,2024-02-05,195,11,7,2,14730.11,Recruiter,Filled,Candidate-50,John Smith
JOB-51,HR Manager,Sales,Tokyo,2024-11-09,,174,28,4,3,3544.21,Referral,Filled,Candidate-51,Chris Lee
JOB-52,Product Manager,Data,Berlin,2023-12-01,2024-01-23,81,14,4,0,0.0,Company Website,Open,,Taylor Davis
JOB-53,Sales Executive,Engineering,London,2023-08-18,2023-11-14,20,1,0,0,0.0,LinkedIn,Filled,,Jane Doe
JOB-54,Data Scientist,Data,Berlin,2024-11-16,,65,8,4,2,3349.05,Recruiter,Filled,Candidate-54,Taylor Davis
JOB-55,Marketing Manager,Engineering,San Francisco,2023-11-15,,16,2,2,2,13712.37,Company Website,Filled,Candidate-55,Chris Lee
JOB-56,Marketing Manager,Data,New York,2024-08-29,2024-11-22,72,2,2,1,12904.11,Recruiter,Filled,Candidate-56,John Smith
JOB-57,Sales Executive,Engineering,London,2024-06-29,2024-08-20,27,5,5,2,1177.13,Company Website,Filled,Candidate-57,Chris Lee
JOB-58,Software Engineer,HR,London,2024-10-12,2024-12-14,191,10,6,1,11273.13,Referral,Filled,Candidate-58,Morgan Brown
JOB-59,Sales Executive,HR,Berlin,2024-03-22,2024-06-10,78,6,6,1,12630.23,LinkedIn,Filled,Candidate-59,Alex Johnson
JOB-60,HR Manager,Data,Berlin,2024-08-06,2024-09-28,96,1,1,1,3545.76,Job Board,Filled,Candidate-60,Alex Johnson
JOB-61,Product Manager,Product,London,2024-09-02,2024-10-12,152,1,0,0,0.0,Job Board,Filled,,Chris Lee
JOB-62,HR Manager,Sales,San Francisco,2024-12-08,2025-02-13,124,1,0,0,0.0,Job Board,Closed,,Taylor Davis
JOB-63,Data Scientist,Product,Sydney,2024-08-18,2024-11-01,145,12,6,5,8705.44,Referral,Filled,Candidate-63,Taylor Davis
JOB-64,HR Manager,Product,London,2023-09-15,2023-10-14,90,4,4,1,3681.57,Company Website,Filled,Candidate-64,Alex Johnson
JOB-65,Marketing Manager,Sales,Tokyo,2024-09-03,2024-09-20,59,5,1,1,3512.18,LinkedIn,Filled,Candidate-65,Taylor Davis
JOB-66,Sales Executive,Data,London,2023-02-16,2023-05-02,84,5,5,3,2436.23,LinkedIn,Filled,Candidate-66,Morgan Brown
JOB-67,Product Manager,HR,Berlin,2024-03-27,2024-04-07,74,14,7,1,12509.62,Company Website,Filled,Candidate-67,Chris Lee
JOB-68,Software Engineer,Sales,Sydney,2024-12-03,,48,5,0,0,0.0,LinkedIn,Filled,,Chris Lee
JOB-69,Sales Executive,Sales,Tokyo,2023-08-20,2023-10-12,125,15,9,9,14860.44,Referral,Filled,Candidate-69,Morgan Brown
JOB-70,Sales Executive,Engineering,Tokyo,2023-04-12,2023-05-13,170,14,4,0,0.0,Job Board,Open,,Jane Doe
JOB-71,Sales Executive,Engineering,San Francisco,2023-01-03,2023-03-25,130,10,0,0,0.0,Referral,Filled,,Alex Johnson
JOB-72,Marketing Manager,HR,New York,2024-12-04,2025-01-11,170,13,6,0,0.0,Recruiter,Open,,Taylor Davis
JOB-73,Data Scientist,Product,San Francisco,2023-03-15,,88,10,7,1,7561.77,Referral,Filled,Candidate-73,Taylor Davis
JOB-74,HR Manager,Product,Tokyo,2024-07-06,2024-07-21,163,3,3,2,9451.99,LinkedIn,Filled,Candidate-74,John Smith
JOB-75,Data Scientist,Marketing,Tokyo,2024-08-24,2024-10-02,157,2,0,0,0.0,Recruiter,Filled,,Chris Lee
JOB-76,Product Manager,Data,Tokyo,2024-03-22,2024-05-28,33,4,2,1,5666.32,LinkedIn,Filled,Candidate-76,Jane Doe
JOB-77,Product Manager,HR,Sydney,2024-05-22,2024-07-17,150,2,1,0,0.0,Referral,Closed,,Alex Johnson
JOB-78,Software Engineer,HR,Tokyo,2023-01-02,2023-03-17,128,14,0,0,0.0,Recruiter,Closed,,Morgan Brown
JOB-79,HR Manager,Marketing,Berlin,2023-02-22,2023-05-08,43,5,3,3,2699.97,Recruiter,Filled,Candidate-79,Jane Doe
JOB-80,Marketing Manager,Data,London,2024-07-18,,114,3,1,0,0.0,Company Website,Open,,Taylor Davis
JOB-81,Data Scientist,HR,Sydney,2023-10-26,2023-12-04,116,16,15,7,7395.01,Job Board,Filled,Candidate-81,Chris Lee
JOB-82,Data Scientist,Sales,Tokyo,2023-05-20,2023-06-29,116,11,8,4,12487.69,Referral,Filled,Candidate-82,Taylor Davis
JOB-83,Product Manager,Sales,Tokyo,2024-11-06,2024-11-30,124,18,15,11,5654.16,Recruiter,Filled,Candidate-83,Chris Lee
JOB-84,HR Manager,Product,San Francisco,2024-12-15,2025-02-07,69,13,6,0,0.0,Referral,Filled,,Chris Lee
JOB-85,Marketing Manager,HR,Berlin,2024-11-10,2025-02-06,48,8,0,0,0.0,Recruiter,Filled,,Alex Johnson
JOB-86,Software Engineer,HR,New York,2024-06-22,2024-06-28,194,10,6,6,10166.94,Job Board,Filled,Candidate-86,John Smith
JOB-87,HR Manager,Product,London,2024-09-30,2024-12-27,30,3,3,2,9775.19,Company Website,Filled,Candidate-87,Morgan Brown
JOB-88,Software Engineer,Sales,New York,2023-08-29,2023-10-09,68,12,1,1,14696.73,LinkedIn,Filled,Candidate-88,Chris Lee
JOB-89,Data Scientist,Marketing,London,2023-01-30,,24,3,2,1,7029.62,Job Board,Filled,Candidate-89,Morgan Brown
JOB-90,HR Manager,Sales,Sydney,2023-07-04,,30,5,3,1,7967.34,Recruiter,Filled,Candidate-90,Jane Doe
JOB-91,Data Scientist,HR,Sydney,2023-09-18,2023-12-17,12,2,1,0,0.0,LinkedIn,Closed,,Alex Johnson
JOB-92,Sales Executive,Product,Sydney,2024-03-10,2024-05-12,87,7,6,6,7764.91,Job Board,Filled,Candidate-92,Chris Lee
JOB-93,Sales Executive,Product,Tokyo,2023-10-30,2023-12-11,15,3,3,2,1113.37,LinkedIn,Filled,Candidate-93,Morgan Brown
JOB-94,Marketing Manager,HR,London,2023-08-24,2023-10-13,66,11,3,2,10488.7,Job Board,Filled,Candidate-94,Taylor Davis
JOB-95,Software Engineer,Marketing,Sydney,2023-02-10,2023-04-12,18,3,2,2,2839.77,Referral,Filled,Candidate-95,Alex Johnson
JOB-96,Marketing Manager,HR,San Francisco,2023-07-25,,148,29,11,8,8025.13,Referral,Filled,Candidate-96,Jane Doe
JOB-97,Product Manager,HR,London,2023-12-13,2024-02-15,29,2,0,0,0.0,Recruiter,Closed,,John Smith
JOB-98,HR Manager,Engineering,London,2024-07-03,,104,9,9,6,12513.84,Referral,Filled,Candidate-98,John Smith
JOB-99,Marketing Manager,Data,Berlin,2023-01-26,2023-04-12,93,8,1,1,13731.43,Referral,Filled,Candidate-99,Taylor Davis
JOB-100,HR Manager,Engineering,San Francisco,2023-02-16,2023-03-31,136,4,0,0,0.0,Recruiter,Open,,Chris Lee
JOB-101,HR Manager,Product,Sydney,2024-12-14,2025-02-10,160,10,6,5,2386.3,Company Website,Filled,Candidate-101,Morgan Brown
JOB-102,HR Manager,Product,New York,2024-12-07,2025-02-06,123,8,5,0,0.0,Referral,Filled,,Taylor Davis
JOB-103,Product Manager,Engineering,Berlin,2023-10-10,,41,8,1,0,0.0,Recruiter,Open,,John Smith
JOB-104,Product Manager,Data,San Francisco,2024-08-01,2024-10-15,63,10,3,1,5599.83,Job Board,Filled,Candidate-104,Morgan Brown
JOB-105,Software Engineer,Product,San Francisco,2023-05-14,2023-06-10,38,6,6,0,0.0,Job Board,Open,,Alex Johnson
JOB-106,Data Scientist,Sales,London,2023-01-17,,23,2,2,1,8365.2,LinkedIn,Filled,Candidate-106,Chris Lee
JOB-107,HR Manager,Product,Tokyo,2024-08-30,,138,8,0,0,0.0,Company Website,Filled,,John Smith
JOB-108,Software Engineer,HR,Berlin,2024-03-12,2024-05-18,192,29,2,0,0.0,Referral,Filled,,Jane Doe
JOB-109,Software Engineer,Data,London,2024-10-01,2024-12-15,192,21,12,9,8427.8,Company Website,Filled,Candidate-109,Morgan Brown
JOB-110,Sales Executive,HR,New York,2024-12-19,,177,14,6,3,13433.27,Company Website,Filled,Candidate-110,Alex Johnson
JOB-111,HR Manager,HR,Berlin,2023-04-08,2023-05-23,180,17,11,2,10615.49,Company Website,Filled,Candidate-111,John Smith
JOB-112,Software Engineer,Engineering,New York,2024-03-18,,199,24,4,4,1839.73,Recruiter,Filled,Candidate-112,Morgan Brown
JOB-113,Product Manager,Marketing,New York,2024-02-25,2024-05-25,118,2,1,1,5923.05,Recruiter,Filled,Candidate-113,Morgan Brown
JOB-114,Data Scientist,Data,Sydney,2024-05-08,2024-05-26,99,18,11,1,11676.48,Recruiter,Filled,Candidate-114,Jane Doe
JOB-115,HR Manager,Sales,Tokyo,2024-09-20,2024-12-05,16,3,2,0,0.0,Job Board,Closed,,Taylor Davis
JOB-116,Product Manager,Product,London,2023-01-07,,46,7,1,0,0.0,LinkedIn,Open,,Taylor Davis
JOB-117,Sales Executive,Data,Berlin,2024-03-05,2024-03-30,104,10,5,4,9347.13,LinkedIn,Filled,Candidate-117,Jane Doe
JOB-118,Data Scientist,Sales,New York,2024-11-21,,123,22,13,7,9499.06,Company Website,Filled,Candidate-118,Alex Johnson
JOB-119,Data Scientist,Sales,New York,2023-12-20,2024-01-30,183,32,19,1,4087.26,Recruiter,Filled,Candidate-119,John Smith
JOB-120,Software Engineer,Data,London,2023-08-05,2023-09-11,84,11,1,0,0.0,Company Website,Filled,,Chris Lee
JOB-121,Data Scientist,Data,Berlin,2024-06-29,2024-09-06,153,27,21,11,2009.06,LinkedIn,Filled,Candidate-121,Chris Lee
JOB-122,Software Engineer,HR,New York,2023-11-17,2024-02-03,113,21,13,4,2612.43,LinkedIn,Filled,Candidate-122,Alex Johnson
JOB-123,Data Scientist,Sales,Berlin,2024-12-07,2024-12-23,121,4,1,1,9244.2,Recruiter,Filled,Candidate-123,John Smith
JOB-124,HR Manager,Product,Sydney,2023-12-14,2024-01-09,29,5,5,0,0.0,Recruiter,Filled,,Jane Doe
JOB-125,Product Manager,Product,Sydney,2024-10-22,2024-11-26,36,2,1,0,0.0,Job Board,Filled,,Jane Doe
JOB-126,Marketing Manager,Engineering,San Francisco,2024-10-05,2024-12-21,158,15,10,10,5425.94,Company Website,Filled,Candidate-126,John Smith
JOB-127,HR Manager,HR,Sydney,2023-11-07,2024-01-26,24,3,0,0,0.0,Company Website,Closed,,John Smith
JOB-128,Software Engineer,Product,London,2023-03-20,2023-04-05,167,33,24,14,9124.61,LinkedIn,Filled,Candidate-128,Chris Lee
JOB-129,Sales Executive,Marketing,San Francisco,2023-11-26,2024-02-03,48,1,1,0,0.0,Referral,Filled,,John Smith
JOB-130,Sales Executive,Marketing,San Francisco,2023-02-10,2023-04-12,122,17,16,5,6094.57,Referral,Filled,Candidate-130,Chris Lee
JOB-131,HR Manager,Product,Sydney,2024-09-04,,171,22,2,1,2323.08,Company Website,Filled,Candidate-131,Alex Johnson
JOB-132,Product Manager,Marketing,Sydney,2024-09-09,2024-10-26,30,5,5,1,13834.45,Referral,Filled,Candidate-132,Taylor Davis
JOB-133,Marketing Manager,Marketing,Berlin,2023-05-13,2023-05-28,89,13,10,5,12384.59,Recruiter,Filled,Candidate-133,John Smith
JOB-134,Marketing Manager,Marketing,Berlin,2024-06-04,2024-07-25,89,6,1,1,14267.36,Company Website,Filled,Candidate-134,Jane Doe
JOB-135,Data Scientist,Data,San Francisco,2023-03-21,2023-04-07,139,25,17,16,1528.46,Referral,Filled,Candidate-135,Morgan Brown
JOB-136,Data Scientist,Sales,Berlin,2023-06-07,,187,11,11,7,1611.69,Referral,Filled,Candidate-136,Taylor Davis
JOB-137,Marketing Manager,Data,Berlin,2024-09-17,2024-11-18,69,9,3,2,14518.35,Company Website,Filled,Candidate-137,Jane Doe
JOB-138,Product Manager,Marketing,Tokyo,2024-03-27,2024-05-07,107,17,16,13,14527.75,Job Board,Filled,Candidate-138,Morgan Brown
JOB-139,Data Scientist,Product,New York,2024-10-18,2024-12-09,151,30,3,0,0.0,Referral,Open,,Jane Doe
JOB-140,Product Manager,HR,Tokyo,2023-05-31,2023-06-16,66,8,5,0,0.0,Company Website,Open,,Chris Lee
JOB-141,Sales Executive,Product,San Francisco,2024-01-31,2024-03-23,67,1,1,0,0.0,Referral,Open,,Jane Doe
JOB-142,Software Engineer,Product,Berlin,2024-12-13,2025-02-16,124,20,0,0,0.0,LinkedIn,Closed,,Jane Doe
JOB-143,Data Scientist,Sales,Sydney,2024-09-15,2024-10-04,83,8,4,0,0.0,LinkedIn,Open,,Chris Lee
JOB-144,Marketing Manager,Sales,Berlin,2023-03-06,,137,20,17,0,0.0,Recruiter,Filled,,Jane Doe
JOB-145,Marketing Manager,Data,London,2024-03-15,,100,8,6,1,10301.2,LinkedIn,Filled,Candidate-145,Morgan Brown
JOB-146,Product Manager,Engineering,Tokyo,2024-07-11,2024-09-18,151,1,1,1,1609.48,Company Website,Filled,Candidate-146,Alex Johnson
JOB-147,Product Manager,Marketing,New York,2024-01-01,2024-02-19,71,12,10,10,2451.29,Recruiter,Filled,Candidate-147,Taylor Davis
JOB-148,Product Manager,Data,New York,2023-12-27,2024-03-23,54,8,7,2,12360.97,LinkedIn,Filled,Candidate-148,Taylor Davis
JOB-149,HR Manager,Engineering,London,2023-07-26,,61,1,1,1,8215.37,Recruiter,Filled,Candidate-149,Chris Lee
JOB-150,Product Manager,Engineering,Sydney,2023-07-15,2023-07-26,177,22,8,1,12190.79,Company Website,Filled,Candidate-150,Chris Lee
JOB-151,Marketing Manager,HR,Berlin,2023-12-14,2024-02-20,187,32,23,16,4734.09,LinkedIn,Filled,Candidate-151,Taylor Davis
JOB-152,HR Manager,Engineering,Berlin,2024-09-08,2024-10-06,149,10,5,0,0.0,LinkedIn,Closed,,Taylor Davis
JOB-153,Product Manager,Product,Berlin,2024-09-09,2024-10-05,186,29,11,7,1592.97,Referral,Filled,Candidate-153,Morgan Brown
JOB-154,HR Manager,Product,Sydney,2023-02-28,,173,26,11,8,12215.34,Job Board,Filled,Candidate-154,John Smith
JOB-155,Data Scientist,Sales,Sydney,2024-03-24,,27,2,2,1,6070.11,Recruiter,Filled,Candidate-155,John Smith
JOB-156,Sales Executive,Data,Sydney,2024-04-05,2024-05-27,123,3,1,1,6572.48,Referral,Filled,Candidate-156,Jane Doe
JOB-157,Software Engineer,Engineering,Sydney,2023-07-10,2023-09-02,153,4,2,1,10856.53,Job Board,Filled,Candidate-157,Morgan Brown
JOB-158,Product Manager,Marketing,Berlin,2023-07-24,,28,4,1,1,14961.67,Referral,Filled,Candidate-158,Taylor Davis
JOB-159,Product Manager,Marketing,New York,2024-07-17,2024-08-29,50,3,2,2,4139.38,Job Board,Filled,Candidate-159,Jane Doe
JOB-160,Data Scientist,HR,New York,2024-01-05,2024-02-26,129,18,4,4,13379.45,LinkedIn,Filled,Candidate-160,Alex Johnson
JOB-161,HR Manager,Marketing,Sydney,2024-05-05,2024-07-01,157,3,1,1,9992.74,Company Website,Filled,Candidate-161,Chris Lee
JOB-162,Marketing Manager,Sales,London,2023-05-12,2023-07-26,173,12,12,2,7056.66,LinkedIn,Filled,Candidate-162,John Smith
JOB-163,Sales Executive,Data,London,2023-06-18,,191,15,11,8,13528.96,LinkedIn,Filled,Candidate-163,Alex Johnson
JOB-164,Data Scientist,Marketing,Tokyo,2023-10-09,,87,3,1,0,0.0,Job Board,Filled,,Morgan Brown
JOB-165,Marketing Manager,Sales,London,2024-07-31,,17,1,0,0,0.0,Job Board,Filled,,Chris Lee
JOB-166,Sales Executive,Marketing,New York,2024-05-24,2024-08-06,84,10,7,3,12265.63,Company Website,Filled,Candidate-166,Alex Johnson
JOB-167,HR Manager,Engineering,Sydney,2023-03-03,,116,16,14,3,5762.7,Job Board,Filled,Candidate-167,Alex Johnson
JOB-168,Marketing Manager,Product,Sydney,2023-12-20,2024-01-10,104,17,17,3,5467.62,Company Website,Filled,Candidate-168,John Smith
JOB-169,Product Manager,HR,San Francisco,2023-05-25,,84,13,13,9,6853.89,Job Board,Filled,Candidate-169,Alex Johnson
JOB-170,Sales Executive,Marketing,London,2023-07-14,2023-09-20,141,15,15,9,7963.18,LinkedIn,Filled,Candidate-170,Chris Lee
JOB-171,Sales Executive,HR,San Francisco,2023-08-09,2023-08-20,22,3,3,3,5000.48,LinkedIn,Filled,Candidate-171,John Smith
JOB-172,HR Manager,Data,London,2024-01-10,2024-03-01,21,4,0,0,0.0,Referral,Filled,,Alex Johnson
JOB-173,Software Engineer,HR,Tokyo,2024-04-06,2024-05-16,169,8,2,0,0.0,Company Website,Closed,,Alex Johnson
JOB-174,Sales Executive,Product,San Francisco,2023-07-23,2023-09-17,138,2,0,0,0.0,Job Board,Filled,,Alex Johnson
JOB-175,HR Manager,Sales,Berlin,2023-06-02,2023-08-11,45,6,4,2,3275.03,Recruiter,Filled,Candidate-175,Taylor Davis
JOB-176,Product Manager,Sales,London,2024-06-03,2024-08-15,135,23,18,9,7648.5,LinkedIn,Filled,Candidate-176,Alex Johnson
JOB-177,Product Manager,Marketing,New York,2024-03-02,2024-05-26,16,3,3,2,14538.99,Recruiter,Filled,Candidate-177,Morgan Brown
JOB-178,Data Scientist,Marketing,New York,2024-08-20,2024-10-31,171,25,4,1,1441.99,LinkedIn,Filled,Candidate-178,Jane Doe
JOB-179,Software Engineer,HR,London,2024-03-04,,186,14,6,4,11849.61,Company Website,Filled,Candidate-179,Taylor Davis
JOB-180,Marketing Manager,Engineering,Sydney,2023-05-22,2023-08-06,93,16,16,12,5392.54,Job Board,Filled,Candidate-180,Chris Lee
JOB-181,Sales Executive,Product,Tokyo,2023-12-29,2024-03-25,187,17,15,6,14402.72,Referral,Filled,Candidate-181,Morgan Brown
JOB-182,Product Manager,Data,London,2023-10-23,2023-12-29,91,16,11,8,14071.81,Referral,Filled,Candidate-182,Alex Johnson
JOB-183,Software Engineer,Sales,Sydney,2024-07-10,2024-09-03,98,5,2,0,0.0,Referral,Filled,,John Smith
JOB-184,Product Manager,HR,Sydney,2023-09-20,2023-10-22,61,9,4,4,10746.4,Job Board,Filled,Candidate-184,John Smith
JOB-185,Sales Executive,Marketing,Tokyo,2023-09-03,2023-12-02,145,8,3,0,0.0,LinkedIn,Closed,,Alex Johnson
JOB-186,Marketing Manager,HR,New York,2024-11-28,2024-12-03,150,30,5,3,10140.5,Company Website,Filled,Candidate-186,Chris Lee
JOB-187,Marketing Manager,Data,London,2023-11-25,2023-12-07,32,6,4,1,8492.13,LinkedIn,Filled,Candidate-187,Jane Doe
JOB-188,HR Manager,Data,New York,2024-02-11,2024-03-10,84,2,0,0,0.0,Recruiter,Filled,,John Smith
JOB-189,Product Manager,Product,Berlin,2024-10-18,2024-12-25,44,8,4,1,12323.39,Referral,Filled,Candidate-189,Jane Doe
JOB-190,Marketing Manager,HR,Sydney,2023-09-21,2023-09-27,198,22,9,9,10441.62,Job Board,Filled,Candidate-190,Jane Doe
JOB-191,Sales Executive,Marketing,Berlin,2024-03-13,2024-03-29,112,22,3,1,14743.59,Company Website,Filled,Candidate-191,Alex Johnson
JOB-192,Data Scientist,Engineering,London,2024-01-28,2024-03-07,94,10,9,9,1160.1,Referral,Filled,Candidate-192,Taylor Davis
JOB-193,Data Scientist,Engineering,Sydney,2023-05-02,2023-05-27,113,22,16,9,10664.07,Referral,Filled,Candidate-193,Alex Johnson
JOB-194,Sales Executive,Data,San Francisco,2023-05-17,2023-07-19,165,24,13,11,8689.28,Company Website,Filled,Candidate-194,Morgan Brown
JOB-195,Marketing Manager,Data,San Francisco,2024-11-27,2024-12-12,144,15,11,1,13841.43,LinkedIn,Filled,Candidate-195,John Smith
JOB-196,Sales Executive,Sales,San Francisco,2024-08-09,2024-09-04,93,17,14,1,10524.13,Recruiter,Filled,Candidate-196,Chris Lee
JOB-197,Software Engineer,Sales,Berlin,2023-02-26,2023-05-07,116,15,1,1,10418.75,Referral,Filled,Candidate-197,Taylor Davis
JOB-198,Software Engineer,HR,London,2023-01-04,2023-03-24,28,1,1,1,10805.39,Recruiter,Filled,Candidate-198,John Smith
JOB-199,Software Engineer,HR,New York,2023-10-21,2023-11-12,174,27,11,6,7279.52,Company Website,Filled,Candidate-199,Chris Lee
JOB-200,Software Engineer,Marketing,Sydney,2024-07-06,,99,4,1,1,8403.8,Job Board,Filled,Candidate-200,John Smith
JOB-201,Software Engineer,Product,Berlin,2024-11-20,2025-01-18,146,13,13,3,4465.17,Referral,Filled,Candidate-201,Jane Doe
JOB-202,Product Manager,Data,Sydney,2023-04-26,,179,27,19,0,0.0,Job Board,Open,,John Smith
JOB-203,Software Engineer,Sales,New York,2024-04-02,2024-04-13,72,12,0,0,0.0,Company Website,Open,,Morgan Brown
